d,n,n_min,sigma_x,corr,center_fraction,n_centers,count,failed_rate,pass_h0_core_rate,pass_mass_at_h0_rate,pass_mass_below_099_rate,pass_mass_above_101_rate,pass_grid_monotone_rate,h0_mean,h0_std,h0_mean_ci95_low,h0_mean_ci95_high,h0_median,h0_median_ci95_low,h0_median_ci95_high,h0_q25,h0_q75,h0_over_sigma_x_median,mass_h0_median,mass_099_h0_median,mass_101_h0_median,center_mass_q05_h0_median,center_mass_min_h0_median
100,1000,20.0,1.3,0.7,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,16.15167097748364,0.08096420775019587,16.144574151770506,16.158767803196774,16.153528853263246,16.14584619520567,16.162024841266998,16.09696716989231,16.206121026711106,12.42579142558711,20.00000000000003,17.221479746081435,23.107204603449816,2.418538777978944,1.074717245648061
100,1000,20.0,1.3,0.7,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,16.15344801832449,0.061745016810478275,16.148035828973974,16.158860207675005,16.15211763566826,16.145330747316905,16.15864495870625,16.113643763718162,16.1943487291991,12.42470587359097,20.00000000000003,17.22187027714338,23.105399653644184,2.3639915543812946,1.0
100,1000,40.0,0.7,0.0,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,9.695153512809927,0.0294429380673586,9.692572725499671,9.697734300120183,9.695778191264033,9.692032857043094,9.69904053888326,9.673369260274885,9.71458499767623,13.85111170180576,40.000000000000064,33.159588096273154,47.70245244204068,7.3124327275261045,2.1209525687809787
100,1000,40.0,0.7,0.0,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,9.69359376562876,0.02271423841148302,9.691602774847867,9.695584756409653,9.693675771097453,9.691559727888519,9.696777944501244,9.676773346773473,9.708757359287041,13.848108244424935,40.000000000000064,33.16112251578025,47.69759051316842,7.124349842877375,1.5122626761732514
100,1000,40.0,0.7,0.3,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,9.629967067652553,0.03434881251107141,9.626956261487484,9.632977873817621,9.628040961175941,9.625015527579508,9.632112175948448,9.605662736017036,9.653470596015733,13.754344230251345,40.00000000000006,33.52525907012698,47.246622389730945,6.980705750914875,1.942072817558877
100,1000,40.0,0.7,0.3,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,9.628576353794179,0.024534751565796504,9.62642578799954,9.630726919588817,9.627669981137227,9.625432445897202,9.630100277737865,9.612463433557002,9.644306422438289,13.753814258767466,40.00000000000006,33.5230699037599,47.24504270791429,6.811060718854566,1.3790684819973356
100,1000,40.0,0.7,0.7,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,9.148772515855306,0.04493005256944485,9.144834223105612,9.152710808605,9.149613057729496,9.146403243908123,9.152921437507688,9.118691219276798,9.179608991370543,13.070875796756422,40.00000000000004,35.14760018276091,45.275096373361805,5.696456871482553,1.5005041488731932
100,1000,40.0,0.7,0.7,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,9.15001228546632,0.03441645501410071,9.14699555017444,9.153029020758199,9.15044553914785,9.146263019559827,9.153891256074697,9.126778959324444,9.173045828630944,13.0720650559255,40.00000000000004,35.15128541880059,45.2707568014836,5.570974498051898,1.1498955732821021
100,1000,40.0,1.0,0.0,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,13.850219304014182,0.04206134009622657,13.84653246499953,13.853906143028833,13.85111170180576,13.845761224347278,13.855772198404658,13.819098943249838,13.8779785681089,13.85111170180576,40.00000000000004,33.15958809627317,47.70245244204063,7.312432727526106,2.1209525687809787
100,1000,40.0,1.0,0.0,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,13.847991093755372,0.032448912016404284,13.84514682121124,13.850835366299505,13.848108244424935,13.845085325555031,13.852539920716062,13.823961923962106,13.869653370410058,13.848108244424935,40.00000000000004,33.161122515780235,47.69759051316839,7.124349842877429,1.5122626761732523
